postalcode	city	address
431400	奥尻郡奥尻町	以下に掲載がない場合
431401	奥尻郡奥尻町	奥尻
431402	奥尻郡奥尻町	赤石
431403	奥尻郡奥尻町	球浦
431404	奥尻郡奥尻町	宮津
431405	奥尻郡奥尻町	稲穂
431406	奥尻郡奥尻町	湯浜（その他）
431521	奥尻郡奥尻町	青苗
431522	奥尻郡奥尻町	富里
431523	奥尻郡奥尻町	松江
431524	奥尻郡奥尻町	米岡
431525	奥尻郡奥尻町	湯浜（神威脇、幌内）
783871	苫前郡羽幌町	焼尻
783951	苫前郡羽幌町	天売（相影）
783952	苫前郡羽幌町	天売（富磯）
783953	苫前郡羽幌町	天売（和浦）
783954	苫前郡羽幌町	天売（前浜）
783955	苫前郡羽幌町	天売（弁天）
881103	厚岸郡厚岸町	小島
970100	利尻郡利尻富士町	以下に掲載がない場合
970101	利尻郡利尻富士町	鴛泊
970211	利尻郡利尻富士町	鬼脇
970311	利尻郡利尻町	仙法志
970400	利尻郡利尻町	以下に掲載がない場合
970401	利尻郡利尻町	沓形
971111	礼文郡礼文町	船泊村（その他）
971200	礼文郡礼文町	以下に掲載がない場合
971201	礼文郡礼文町	香深村
971202	礼文郡礼文町	船泊村（ウヱンナイ）
9980281	酒田市	飛島
9850191	塩竈市	浦戸石浜
9850192	塩竈市	浦戸桂島
9850193	塩竈市	浦戸野々島
9850194	塩竈市	浦戸寒風沢
9850195	塩竈市	浦戸朴島
9860023	石巻市	田代浜
9862211	牡鹿郡女川町	出島
9862212	牡鹿郡女川町	江島
9862523	石巻市	鮎川浜
9862525	石巻市	長渡浜
9862526	石巻市	網地浜
9880601	気仙沼市	外浜
9880602	気仙沼市	大初平
9880603	気仙沼市	外畑
9880604	気仙沼市	廻舘
9880605	気仙沼市	浦の浜
9880606	気仙沼市	磯草
9880607	気仙沼市	亀山
9880611	気仙沼市	田尻
9880612	気仙沼市	大向
9880613	気仙沼市	高井
9880621	気仙沼市	長崎
9880622	気仙沼市	中山
9880623	気仙沼市	浅根
9880631	気仙沼市	三作浜
9880632	気仙沼市	横沼
9880633	気仙沼市	駒形
9880634	気仙沼市	要害
1000100	大島町	以下に掲載がない場合
1000101	大島町	元町
1000102	大島町	岡田
1000103	大島町	泉津
1000104	大島町	野増
1000211	大島町	差木地
1000212	大島町	波浮港
1000301	利島村	利島村一円
1000400	新島村	以下に掲載がない場合
1000401	新島村	若郷
1000402	新島村	本村
1000511	新島村	式根島
1000601	神津島村	神津島村一円
1001100	三宅島三宅村	以下に掲載がない場合
1001101	三宅島三宅村	神着
1001102	三宅島三宅村	伊豆
1001103	三宅島三宅村	伊ケ谷
1001211	三宅島三宅村	坪田
1001212	三宅島三宅村	阿古
1001213	三宅島三宅村	雄山
1001301	御蔵島村	御蔵島村一円
1001400	八丈島八丈町	以下に掲載がない場合
1001401	八丈島八丈町	大賀郷
1001511	八丈島八丈町	三根
1001621	八丈島八丈町	樫立
1001622	八丈島八丈町	末吉
1001623	八丈島八丈町	中之郷
1001701	青ヶ島村	青ヶ島村一円
1002100	小笠原村	以下に掲載がない場合
1002101	小笠原村	父島
1002211	小笠原村	母島
9520000	佐渡市	以下に掲載がない場合
9520001	佐渡市	白瀬
9520002	佐渡市	北五十里
9520003	佐渡市	椿
9520004	佐渡市	羽吉
9520005	佐渡市	梅津
9520006	佐渡市	春日
9520007	佐渡市	浜田
9520011	佐渡市	両津夷
9520012	佐渡市	両津夷新
9520013	佐渡市	両津福浦
9520014	佐渡市	両津湊
9520015	佐渡市	住吉
9520016	佐渡市	原黒
9520021	佐渡市	秋津
9520022	佐渡市	旭
9520023	佐渡市	潟端
9520024	佐渡市	上横山
9520025	佐渡市	下横山
9520026	佐渡市	立野
9520027	佐渡市	長江
9520028	佐渡市	加茂歌代
9520101	佐渡市	新穂長畝
9520102	佐渡市	新穂青木
9520103	佐渡市	新穂潟上
9520104	佐渡市	新穂田野沢
9520105	佐渡市	新穂正明寺
9520106	佐渡市	新穂瓜生屋
9520107	佐渡市	新穂井内
9520108	佐渡市	上新穂
9520109	佐渡市	新穂大野
9520111	佐渡市	新穂武井
9520112	佐渡市	新穂舟下
9520113	佐渡市	新穂皆川
9520114	佐渡市	下新穂
9520115	佐渡市	新穂北方
9520116	佐渡市	新穂
9520201	佐渡市	目黒町
9520202	佐渡市	栗野江
9520203	佐渡市	坊ケ浦
9520204	佐渡市	長谷
9520205	佐渡市	小倉
9520206	佐渡市	畑野
9520207	佐渡市	寺田
9520211	佐渡市	畉田
9520212	佐渡市	宮川
9520213	佐渡市	飯持
9520214	佐渡市	大久保
9520215	佐渡市	猿八
9520216	佐渡市	三宮
9520301	佐渡市	真野大川
9520302	佐渡市	竹田
9520303	佐渡市	阿仏坊
9520304	佐渡市	国分寺
9520305	佐渡市	長石
9520306	佐渡市	四日町
9520307	佐渡市	金丸
9520311	佐渡市	名古屋
9520312	佐渡市	吉岡
9520313	佐渡市	真野
9520314	佐渡市	滝脇
9520315	佐渡市	大須
9520316	佐渡市	背合
9520317	佐渡市	豊田
9520318	佐渡市	真野新町
9520321	佐渡市	静平
9520322	佐渡市	下黒山
9520421	佐渡市	羽茂小泊（1~1699番地）
9520422	佐渡市	羽茂亀脇
9520431	佐渡市	大小
9520432	佐渡市	大倉谷
9520433	佐渡市	田切須
9520434	佐渡市	西三川
9520435	佐渡市	椿尾
9520501	佐渡市	羽茂滝平
9520502	佐渡市	羽茂大崎
9520503	佐渡市	羽茂飯岡
9520504	佐渡市	羽茂本郷
9520505	佐渡市	羽茂三瀬
9520511	佐渡市	羽茂大石
9520512	佐渡市	羽茂大橋
9520513	佐渡市	羽茂村山
9520514	佐渡市	羽茂小泊（その他）
9520515	佐渡市	羽茂上山田
9520601	佐渡市	小木堂釜
9520602	佐渡市	小比叡
9520603	佐渡市	小木木野浦
9520604	佐渡市	小木町
9520605	佐渡市	小木
9520606	佐渡市	琴浦
9520611	佐渡市	小木金田新田
9520612	佐渡市	宿根木
9520613	佐渡市	小木強清水
9520614	佐渡市	犬神平
9520615	佐渡市	深浦
9520621	佐渡市	沢崎
9520622	佐渡市	江積
9520623	佐渡市	田野浦
9520624	佐渡市	木流
9520625	佐渡市	小木大浦
9520626	佐渡市	井坪
9520701	佐渡市	下川茂
9520702	佐渡市	上川茂
9520703	佐渡市	外山
9520704	佐渡市	莚場
9520705	佐渡市	三川
9520706	佐渡市	徳和
9520711	佐渡市	赤泊
9520712	佐渡市	真浦
9520713	佐渡市	柳沢
9520714	佐渡市	南新保
9520715	佐渡市	杉野浦
9520716	佐渡市	大杉
9520821	佐渡市	松ケ崎
9520822	佐渡市	多田
9520823	佐渡市	浜河内
9520824	佐渡市	丸山
9520851	佐渡市	蚫
9520852	佐渡市	赤玉
9520853	佐渡市	立間
9520854	佐渡市	豊岡
9520855	佐渡市	柿野浦
9520856	佐渡市	東鵜島
9520857	佐渡市	岩首
9521201	佐渡市	安養寺
9521202	佐渡市	吉井本郷
9521203	佐渡市	吉井
9521204	佐渡市	三瀬川
9521205	佐渡市	水渡田
9521206	佐渡市	大和
9521207	佐渡市	貝塚
9521208	佐渡市	金井新保
9521209	佐渡市	千種
9521211	佐渡市	中興
9521212	佐渡市	泉
9521213	佐渡市	平清水
9521301	佐渡市	真光寺
9521302	佐渡市	市野沢
9521303	佐渡市	上矢馳
9521304	佐渡市	下長木
9521305	佐渡市	上長木
9521306	佐渡市	長木
9521307	佐渡市	東大通
9521308	佐渡市	二宮
9521311	佐渡市	八幡
9521312	佐渡市	八幡新町
9521313	佐渡市	八幡町
9521314	佐渡市	河原田本町
9521315	佐渡市	河原田諏訪町
9521321	佐渡市	山田
9521322	佐渡市	石田
9521323	佐渡市	鍛冶町
9521324	佐渡市	中原
9521325	佐渡市	窪田
9521326	佐渡市	青野
9521431	佐渡市	沢根炭屋町
9521432	佐渡市	沢根五十里
9521433	佐渡市	沢根篭町
9521434	佐渡市	沢根町
9521435	佐渡市	沢根
9521501	佐渡市	下相川
9521502	佐渡市	相川水金町
9521503	佐渡市	相川柴町
9521504	佐渡市	相川下山之神町
9521505	佐渡市	相川坂下町
9521506	佐渡市	相川炭屋町
9521507	佐渡市	相川紙屋町
9521508	佐渡市	相川大間町
9521511	佐渡市	相川栄町
9521512	佐渡市	相川板町
9521513	佐渡市	相川濁川町
9521514	佐渡市	相川小六町
9521515	佐渡市	相川新西坂町
9521516	佐渡市	相川西坂町
9521517	佐渡市	相川石扣町
9521518	佐渡市	相川材木町
9521521	佐渡市	相川夕白町
9521522	佐渡市	相川上京町
9521523	佐渡市	相川新五郎町
9521524	佐渡市	相川大工町
9521525	佐渡市	相川諏訪町
9521526	佐渡市	相川中寺町
9521527	佐渡市	相川左門町
9521528	佐渡市	相川六右衛門町
9521531	佐渡市	相川広間町
9521532	佐渡市	相川弥十郎町
9521533	佐渡市	相川米屋町
9521534	佐渡市	相川大床屋町
9521535	佐渡市	相川中京町
